Name,UV wave,UV Energy,cPFAS,cED,pH,Temp,nF,#H:C,#F:C,E(B3LYP),ELUMO,f-min,f+max,EA,S,ESPneg,ESPmean,ESPposav,I-,SO32-,Air A,Kobs(h-1)
19,0.866419902,-1.580849759,0.857800754,1.808712458,-0.636221352,1.072538152,0.406174272,1.646252746,-0.670069964,-0.62595049,1.581635654,-0.829763789,-1.310248075,-0.17455754,0.218402145,0.247787486,1.343027184,-0.418450773,0,1,1,-0.7741129
20,-0.49085118,-1.098161985,-0.113565396,-1.067277909,0.272749882,0.751798613,1.986393912,-0.583401398,0.856848798,-1.965917882,0.853844812,-1.491306696,-1.563921627,0.85720977,0.387684153,1.087465767,0.720598682,-1.616992737,0,1,1,-1.214278339
21,1.083785497,-0.101865955,-0.275318636,0.167841645,-0.055387418,0.385835819,-0.43543622,-0.800805092,1.49237145,0.190220593,0.092728977,0.013319085,0.097912903,-1.186090668,-1.378374638,-1.179865782,0.395730484,-0.724618985,0,1,1,-0.683378517
22,-0.599013554,0.901727534,0.358654439,-0.333476678,0.630099297,-0.736693498,0.688971967,-1.065220295,0.48309777,-0.626218901,-0.298008212,-0.587086789,0.357929292,0.605397912,0.253991281,0.736604094,-0.765941931,-0.407926728,0,1,1,1.594027568
23,0.149773405,1.047797913,0.638901236,1.275503013,-1.234976672,-1.402456027,-1.294051159,0.428265462,-0.322203196,1.377081486,-0.284134935,2.134578808,0.905500381,-0.19056746,-0.92766951,-1.077964365,0.253616587,1.085246313,0,1,1,-0.331496923
24,0.88466905,-0.547160706,-1.091913725,-0.24696568,0.999661304,0.948761097,1.76466897,1.197446467,-1.078379238,-1.675585291,1.29264085,-1.683430778,-1.636620521,0.339247591,1.50307134,1.86126179,0.374399621,-0.445532829,0,1,1,-0.521061757
25,0.042823447,1.270519886,-0.922991036,-0.056911463,0.00417857,-1.209841404,0.349973842,1.440967967,-1.237233912,-0.097391941,0.792078545,0.087563113,-0.688472863,-0.402408973,0.92842159,1.217935935,-0.512896449,0.85862856,0,1,1,-0.135395061
26,1.21960468,-0.812352031,0.459131996,1.545593823,-0.008545699,0.793283053,0.093017586,0.159142982,-1.247071481,0.276961131,-1.214587775,-0.403937722,-0.004080332,1.427071114,1.849761141,0.87536484,-0.763532641,0.599094328,0,1,1,-0.194065177
27,1.482121332,-0.314163609,-1.12556352,-0.107917011,1.099460905,1.038193207,0.166422503,0.070156737,-1.671257833,0.072175951,-1.897417369,-1.129888812,0.0966826,1.626111797,2.039766593,0.548313547,-0.000317687,0.004935122,0,1,1,0.71479365
28,0.365051585,2.144559407,-1.137158806,-0.217833393,-0.130237472,-1.862219162,-0.211295843,-0.947193214,-0.35366828,0.279974248,-1.730716649,-0.227225055,0.322344936,1.51002842,1.733185948,-0.345513592,-0.090391772,-0.540558804,0,1,1,2.455088312
29,0.154748885,-0.850142283,0.998732038,0.320660867,0.056512009,0.526235371,0.95230929,-0.94109971,0.44687622,-0.652733719,-0.40608159,-0.675078669,-0.135465235,0.772436305,0.515006753,1.214977354,-1.194199916,-0.156190393,0,1,1,-0.631672658
30,-2.719700651,-1.011326028,0.788697555,-1.315757,0.672722146,1.210217363,-0.91704091,0.83294836,-1.493573352,1.22600998,-0.499344985,0.856168672,1.171697397,-0.272557244,-0.132255292,0.615206693,-1.720823223,2.167531627,0,1,1,-0.284333731
31,1.53305996,-0.750467549,-0.513721347,-0.150595432,-0.330005824,1.16057801,-0.888242239,-0.596671632,0.822950768,0.769216765,-0.415503523,-0.258314154,1.144393667,-2.629815877,-1.486863392,-0.877800034,-0.483345887,0.079996682,0,1,1,-0.725325793
32,0.021737703,0.012220933,-0.166964574,0.266800305,-0.346640266,-0.389538844,0.763914549,1.519005421,-0.603786743,-0.863193187,1.531914143,-0.465870833,-1.545156811,0.269197285,0.7002235,0.569576573,1.038374449,-0.320939993,0,1,1,-0.905395555
33,0.107573322,0.249568592,-0.060568961,0.041848088,0.366052734,-0.277558761,1.148360057,-1.100448228,1.557811164,-1.526010587,0.483117751,-1.131322116,-1.321418123,0.908543534,0.267795693,-0.493193031,1.213551279,-2.077838429,0,1,1,0.155157327
34,-0.082867488,0.084489327,0.64940465,0.186998254,0.58311521,-0.131017817,0.752868431,-0.902365822,0.615314955,-0.626961824,-0.198960885,-0.684644011,-0.196393903,0.771109173,0.250986045,0.65923861,-0.653542618,-0.417274424,0,1,1,0.034240045
35,0.247778935,1.233865996,-0.392724546,0.230314498,-0.056961918,-1.073666478,-0.659140363,-0.54211885,-1.163188604,1.11813277,-1.901323201,0.564859811,1.003228734,1.219855299,1.636857915,0.324617193,-1.300433348,1.151987068,0,1,1,1.083683769
36,1.033035595,-1.121230506,-0.029894351,0.322738009,0.161511547,1.563747658,-1.61347202,1.728578659,-1.88270812,1.666588644,-0.361244971,1.987027527,1.498520705,-0.763761746,-0.685855449,-0.986481064,0.522462318,1.919448559,0,1,1,-0.609822974
37,0.228746292,1.92470507,-0.770438089,-0.3416975,0.555208365,-1.504369523,-0.807250706,-0.493487772,0.415559776,0.582542814,-0.173637006,0.760045662,0.759185064,-0.229022179,-0.701655587,-0.991980772,-0.091839515,0.108463304,0,1,1,2.392266171
38,-1.600206072,2.038514083,-0.299370875,-1.253132285,-0.280139148,-2.08392341,-0.911648962,-0.474356519,0.107502882,1.112318113,-0.700361392,1.198152389,1.222278299,-0.399862592,-0.836163833,-0.387849063,-0.769478234,0.832121074,0,1,1,0.791786236
39,-0.412861951,-0.831631021,-0.006954766,-1.106284633,1.033148672,1.079647093,1.319879533,0.412726919,-0.507608729,-1.198197703,0.79222414,-1.700428298,-0.577865015,0.024964335,0.59960893,1.562215288,-0.101427721,-0.40286405,0,1,1,-0.336462114
40,0.433781845,-0.448300944,-0.590940619,-0.255232062,1.148087151,1.183871505,-1.183414518,1.385988961,-1.143573651,1.102515296,0.232594144,0.738999672,0.554028601,-0.75737396,-0.562286158,-0.39401774,-0.272069649,1.444449609,0,1,1,-0.322768052
41,-0.216862328,0.171526696,-0.025135882,-0.331851749,-2.19435445,-0.961817778,-0.529992459,-0.528543335,1.019484207,0.518687386,-0.062790099,0.90192848,0.011169095,0.410637016,-0.671934555,-0.700957819,-0.255711893,-0.053669383,0,1,1,-0.805735584
42,-0.258719274,-0.04320593,-0.146843849,0.100974904,-0.377807466,-0.273889203,0.496986852,-0.265116768,1.761536753,-0.986964841,1.379253777,-0.305351136,-1.828241163,0.358328324,-0.593544752,-0.974201957,1.386079957,-1.573178762,0,1,1,-0.985836394
43,0.953462218,0.264375178,-1.116061197,-0.629228874,1.053534003,0.584957466,1.058660235,-0.96800287,-0.558045876,-1.010179302,-1.338552309,-1.568868472,0.257343543,1.626022493,2.034522314,0.925887813,0.037988301,-0.962207583,0,1,1,1.818888711
44,-0.869159276,1.187479054,-0.726599013,-0.988947238,-1.143686699,-1.521250713,-0.292656608,-0.287251253,0.606662855,0.456544446,-0.074365469,0.902367518,-0.09088736,0.18427668,-0.36013241,-0.007462776,-0.906031619,0.450242595,0,1,1,-0.926198627
45,-0.440644577,0.689390716,-0.492393762,-0.593944468,0.158995448,-0.613489843,-0.011794731,-0.363853759,1.272621056,-0.279037638,0.586179497,0.042110722,-0.867996363,0.408168551,-0.599006464,-0.850741173,0.543755969,-0.793040463,0,1,1,-0.519496164
47,0.173060942,-0.531609704,-0.092077833,-0.617282358,0.318812104,0.687584912,0.675791676,-0.986343213,-0.509727983,-0.090159911,-1.693081451,-0.626998707,0.616969924,1.105075637,1.513766977,1.594774716,-1.660015284,0.54198126,0,1,1,-0.366753005
48,-0.743130924,-0.03017631,0.097050308,-0.3723501,1.039942138,0.54050214,-1.840869016,0.381599975,-1.513528443,1.794969502,-1.807450033,1.23597048,1.600438242,0.424307759,0.175226147,-2.08744595,1.499415122,0.585728195,0,1,1,1.240199601
49,0.088346235,-1.242350654,1.051816626,0.018535509,-0.061062383,0.907025094,1.129630919,-0.866287006,0.845934276,-1.078091706,0.249269094,-1.469847084,-0.214299004,-0.592550593,-0.206081589,0.906678239,-0.369218361,-0.870077722,0,1,1,-0.603167939
50,0.116266116,-0.290161381,-0.634390312,-0.328090621,-0.730562359,0.482684449,-1.122855605,1.635524903,-0.039032945,0.720839469,1.540171221,1.666414465,-0.105351524,-0.789186598,-1.69945807,-1.184148236,1.123645931,0.701103471,0,1,1,-1.154353809
51,-0.305563138,-1.023749547,-0.450955845,-0.525413989,-2.279863035,-0.055820904,0.270698806,-0.476312424,2.146227836,-0.965038,1.629718753,-0.246608691,-1.813887219,-0.817989214,-1.282207092,-1.308822033,1.044900036,-1.77967436,0,1,1,-1.060932632
52,-4.51204606,0.577092915,3.75482412,0.674773818,-0.508383815,-2.100988943,0.701119034,-1.426931417,0.714739331,-0.572273791,-0.676953609,-0.520975101,0.151847398,0.963258188,0.479557395,0.456281853,-0.338422638,-0.969872978,0,1,1,1.683747554
53,0.305563138,0.013345483,0.747564978,0.85969677,0.134740823,-0.454651857,1.75942886,-0.792543425,0.161681552,-1.495219681,-0.288537028,-1.263142158,-1.045724736,1.570114534,1.724079643,1.44617619,-0.197803801,-0.966710283,0,1,1,-0.082928949
54,-0.632635221,1.580118844,-0.377239881,-0.408630048,0.394524819,-1.331058018,-0.938734029,0.249741102,0.884963564,0.593750338,0.828864142,1.255125066,0.026683467,-0.960661465,-1.692089159,-1.646583487,1.234437522,-0.221527257,0,1,1,0.280485537
55,0.672170276,-0.385784873,-0.946408501,-0.074358776,0.755136,0.935560669,-0.477156093,2.001342854,-1.882228461,0.584022498,0.643123912,0.254784267,-0.072596282,-0.528703131,0.444850934,0.685564134,-0.609406845,1.622480951,0,1,1,-0.422951399
56,-1.056809242,-0.314037726,0.427909395,-0.497744644,-0.343362994,0.42543914,-1.8417947,0.506895812,-0.847756269,1.912663224,-0.910290807,2.086691284,1.871036979,-0.945598945,-1.306709729,-2.276797312,1.928698492,0.692895449,0,1,1,-0.057766979
57,1.060503679,-0.196990268,-1.197427344,-0.03965651,0.992830484,0.96471955,-0.775870784,2.6443609,-1.750686994,0.652564504,1.545797082,0.737705554,-0.001480809,-1.625352081,-0.635162479,0.179491014,0.160305692,1.699607334,0,1,1,-0.48622788
58,0.403700204,1.153981863,0.361998225,1.062822973,0.29830132,-1.229838102,0.654549975,-0.526422895,0.342712704,-0.693904662,0.170862305,-0.34121171,-0.416843467,0.70940139,0.618341308,0.419095313,-0.187749161,-0.508543811,0,1,1,1.418391338
59,0.791896353,0.536017284,-0.421382356,0.009139439,0.630937996,-0.186549036,0.989445573,-1.201672623,0.203418269,-0.793281396,-0.926679633,-0.924837162,0.055230393,1.26575694,1.229344834,1.03373404,-0.79221706,-0.542474561,0,1,1,1.007125877
60,0.422549841,-1.982235434,0.25004585,-0.582758952,-1.19802315,1.539766693,-0.080593404,-0.597541176,0.954429314,-0.009353856,0.131295815,-0.454432242,0.096578619,-0.41328803,-0.873940242,-0.32780022,-0.124862349,-0.459512967,0,1,1,-0.882673951
61,-1.690828447,-2.053095808,0.262476426,-1.743015362,-2.885304694,1.15240782,-0.519617804,-0.461061783,1.531801974,0.129497765,0.731745245,-0.328557369,0.192057241,-2.806442157,-1.785694101,-0.838754919,-0.0527463,-0.656867903,1,0,0,-0.79081942
62,0.39744368,-2.053914511,0.408512627,-0.415880639,-3.618667054,0.722071424,0.108649704,-0.967498295,1.132824165,-0.102710174,-0.17124904,-0.747022211,0.369242834,-1.575620166,-0.570916181,0.021401513,-0.579802486,-0.61463567,1,0,0,-0.674050451
63,-0.608432653,1.468016239,-0.749280303,-0.819932725,0.751924979,-1.121375825,-1.835299876,1.160545687,-1.297972785,1.91252491,-0.310660067,2.235699469,1.771120035,-1.205013857,-1.365944713,-0.917001051,-0.458326537,2.170184031,0,1,1,1.270314888
64,0.957922994,1.700826843,-1.242011958,0.09714122,0.196546632,-1.180315873,-1.82277972,1.158661865,-1.420185523,1.89894688,-0.723408003,2.228468201,1.26562088,-0.381437719,-0.464052998,-1.487974315,0.847841541,1.434375518,0,1,1,0.668019474
65,-0.013165007,-0.677210122,0.443748959,1.008466326,-1.278267662,-0.603479272,1.410501954,-0.404160206,1.734471583,-1.861750493,1.446476764,-0.525268052,-2.402610219,0.863522723,0.333558846,-0.213167884,1.108813709,-1.865387342,0,1,1,-0.96611034
66,-0.359675779,-0.731980531,-0.250612095,-0.857355017,0.825861625,1.263681082,-1.062252828,0.747254958,-0.526486867,1.006287597,0.13673471,0.924684631,0.838012595,-0.724000017,-1.04327402,-0.250414658,-0.810316246,1.478983716,0,1,1,-0.566491206
67,-1.752410028,-0.448267376,3.759089865,3.266342618,-1.518654442,-1.181951541,0.923397825,-1.429846612,0.13137914,-0.344566869,-1.386458433,-0.294168677,0.247202906,1.441438131,1.541710234,1.693827337,-1.575522689,-0.089172804,0,1,1,0.197561692
68,-1.701019604,-0.195861987,0.285144813,-0.699391031,0.966994311,0.46296172,-0.586111426,1.802876674,-1.44854559,0.474389661,0.985257022,0.549162461,0.307862888,-0.746961968,-0.548388043,-0.189260441,0.882235447,0.954140376,0,1,1,0.449142031
69,-0.607923667,0.523392974,1.93235256,1.960910732,-0.234041687,-1.203476966,-0.278366451,0.181736598,0.340476727,0.109270746,0.564974167,0.588794798,-0.39176285,0.303996398,-0.496062254,-1.03013477,1.211998637,-0.415443058,0,1,1,0.312153148
70,-0.000137255,0.144785513,-0.095811231,-0.375313106,0.238435796,0.093179653,-0.647391932,-0.367899903,0.453710905,0.633436805,-0.292697557,0.311260719,0.360952642,0.225455444,-0.63975653,-0.670533766,-0.219719791,0.174980067,0,1,1,-0.422903235
71,0.292466758,-1.379874074,1.214947895,1.095699514,-0.029339809,1.11347058,0.546041962,0.358639537,-0.311863171,-0.445953945,0.45004253,-0.655801843,-0.551247144,0.490191299,0.41605917,0.966137083,-0.446966587,0.09566267,0,1,1,-0.65575528
72,1.027499658,0.055334928,-0.650092621,0.295934279,0.970910121,0.584590816,0.251908451,0.050381731,-1.157887734,-0.084841336,-0.744213932,-0.268149091,0.385670573,0.717518729,1.417933864,1.241704978,-1.468949857,0.965821053,0,1,1,1.438134204
73,0.549155806,0.259183222,0.663979232,1.210450185,-1.394356358,-0.788195638,-0.636590683,-0.258115684,0.707370273,0.590474972,0.049974029,1.077445668,0.099269646,0.416103943,-0.788338909,-0.922424097,0.219061642,0.034399452,0,1,1,-0.564367701
74,0.018763853,-0.763541928,0.8386399,0.725710184,0.348428768,0.408386847,1.290001605,-0.251239533,0.912465534,-1.423814512,1.078743219,-0.905336127,-1.562275609,0.596012092,0.111033689,0.592816282,0.293667372,-1.043162325,0,1,1,-0.857598972
75,-0.666319797,0.007131548,0.910540721,0.283105274,0.19123111,-0.376748861,0.71172699,-0.280003152,0.400145031,-0.583697344,0.324525607,-0.48310648,-0.644226896,0.659672043,0.276943414,0.722525197,-0.537658201,-0.21110456,0,1,1,-0.478635987
76,0.026644557,-1.103990503,-0.3628987,-0.658863995,-1.717823723,0.716731571,-0.519547428,-0.75320966,0.225685937,0.606743274,-1.128611638,0.062430832,0.296637522,1.336879483,0.468201694,-0.663183964,0.008829107,-0.264104547,0,1,1,-0.720064682
77,-0.018952578,-0.211590157,0.154496331,0.061008072,0.276801012,0.542594083,-1.259267166,0.364647283,-0.237423923,1.23906009,-0.296171388,1.221711577,0.839168447,-0.293707447,-0.98913836,-0.765536604,-0.44374678,1.143886309,0,1,1,-0.428875864
78,0.261224171,0.372167316,0.192998687,0.707841031,0.45893694,-0.210530001,-0.455765204,0.238838324,-1.202391153,0.622436752,-1.148389864,-0.165713433,0.344584379,1.105471679,1.311738511,-0.183466968,0.278369999,0.286217023,0,1,1,0.9908178
79,0.07885279,-0.942023489,0.110710124,-0.753111543,-0.18176886,0.43459623,1.602850758,-1.488284849,1.18433553,-1.49145919,-0.267081457,-1.496096779,-0.745378717,0.985213103,0.530532511,0.662519302,0.084680479,-1.632591686,0,1,1,-0.797514687
80,1.042677733,0.155263914,0.290390183,1.703342671,0.385509152,-0.176641332,0.690206919,1.439909956,-1.541807351,-0.389257623,0.748411565,-0.477690669,-0.666657663,-0.177393749,1.273628705,1.635056734,-0.598041217,0.850743118,0,1,1,-0.001313903
81,-1.472868082,1.963946235,0.249118981,-0.466948619,-0.193142753,-2.311503228,1.148847386,-1.361112597,1.077561246,-1.085443905,-0.210843487,-0.486774611,-0.613932258,1.173151128,0.756018899,0.468834485,0.030987297,-1.306958308,0,1,1,1.048574662
82,0.095683639,-0.83591196,0.486908613,-0.655579547,0.04366722,0.764501007,1.367624736,-1.466797109,0.037482698,-0.82263644,-1.352636193,-1.270341051,0.587479683,1.127349321,1.217075395,1.907966147,-1.35821216,-0.258728754,0,1,1,-0.291254618
83,-0.111033283,0.850396671,-0.811759192,-0.154628225,-0.870000026,-1.629995107,1.983725414,-1.228696014,1.986105623,-1.968256206,0.676499564,-0.844429052,-2.400998722,1.237405977,0.945648502,0.242067884,0.767042886,-2.080608745,0,1,1,-0.955060867
84,0.607557655,0.345216018,0.184106817,0.114252748,0.519128782,0.017016208,0.160808341,-1.147867301,-0.27722103,0.078995093,-1.474561271,-0.298736821,1.347403549,0.126553718,0.70565415,0.976918646,-1.651704799,0.554542128,0,1,1,1.781350417
85,0.707347496,0.009182346,-1.3189477,-0.442227937,-0.049655366,0.327627034,-0.055597439,1.428833382,-0.29999389,-0.044685835,1.394809559,0.294314031,-0.65900425,-0.926542615,-0.525997612,0.467290504,-0.178924444,0.715800144,0,1,1,-1.21507751
86,0.791330177,0.527667386,1.22174406,2.560431776,-0.080188961,-0.887554804,0.12047309,-0.140341318,-0.539928262,0.150924417,-0.74402068,0.188074991,-0.133057452,1.0533088,1.279121478,0.739242175,-1.153114058,0.62718474,0,1,1,0.568479615
87,0.175348519,0.413349248,-0.452487115,-0.537534303,0.66905724,0.09966427,-0.595104112,-0.148124194,-0.342798441,0.782044682,-0.644712557,0.156670608,0.89075838,-0.170247358,-0.156571559,0.234891271,-1.213384347,0.934573467,0,1,1,0.293462826
88,-0.023682144,-0.856868452,-0.271606477,-0.651329928,1.321704994,1.296170369,1.089128645,0.648330639,-0.290797386,-1.216671493,1.150478339,-1.643403276,-1.067533697,-0.049992506,0.370532824,0.834659247,0.713230048,-0.723598798,0,1,1,-0.360054918
89,0.660709513,-0.868728142,2.598839253,3.529518623,-0.03710095,0.441946549,-0.52555396,2.650705837,-1.607316369,0.071478219,2.43990369,0.470117154,-0.458175473,-1.660330999,-0.941269949,-0.797937661,3.287551176,0.101786153,0,1,1,-0.047308202
90,0.251747882,0.781649259,-0.931532689,-0.111163493,0.576872185,-0.395775972,1.052078645,-0.482149082,2.142440719,-1.64277925,1.634754541,-0.65640518,-1.94370908,-0.375778143,-0.696400954,-0.507867295,1.145072711,-1.87137359,0,1,1,-0.61818396
91,-1.138086863,-0.188366226,0.487032165,-0.77265962,0.716056832,0.510083408,-1.534032131,0.214789389,-0.415508728,1.557031469,-0.632073836,1.874867676,1.923405105,-2.175676887,-1.785861835,-0.976005774,-0.472247063,1.629822979,0,1,1,-0.086234297
92,0.31946017,-0.556247872,-0.768498252,-0.732858149,0.335951174,0.923484635,-0.39587679,0.105958905,0.217521703,0.429984435,0.038687128,0.065906525,-0.001044089,0.017032795,-0.40907349,-0.203735211,-0.329052412,0.285422012,0,1,1,-1.084956151
93,0.563493197,-0.476463823,-0.802481707,-0.322468335,0.434958592,1.107227341,-1.100654912,1.196557977,-1.182477097,1.175402888,-0.069535128,1.009231378,0.711229473,-0.268757794,-0.377716534,-0.367926015,-0.217866245,1.472300255,0,1,1,-0.801842557
94,-0.451785079,2.154467141,-1.319113159,-0.634230212,-0.339146944,-2.320777443,0.836022334,-0.195171744,0.720312859,-0.908510462,0.734304276,0.29022078,-1.153784635,0.255060333,0.530969448,0.22199935,0.261505869,-0.769367571,0,1,1,0.901417294
95,0.150539743,0.246874706,-1.253100475,-0.96331285,0.760778545,0.131898939,1.115456208,0.474537203,-0.311517561,-0.954556966,0.629415462,-1.053377883,-1.141153031,0.296118371,0.981965004,1.265381683,-0.227447393,-0.262270027,0,1,1,-0.806077903
96,-0.173381202,-0.487802577,-0.011588655,-0.947318355,0.733638511,0.927932307,-0.388158583,-0.491327445,0.043617956,0.574730825,-0.669393829,0.111929574,0.937100187,-0.182633352,-0.526844566,0.35866638,-1.436717972,0.83809076,0,1,1,-0.376014811
97,0.186037224,0.094389601,-0.248144479,-0.07851812,-1.126154356,-0.305465938,-0.486308329,-0.291506093,1.93583444,0.011161089,1.05184683,0.438438636,-0.672713513,-1.392233219,-1.687000189,-1.083336894,0.028951219,-0.577250011,0,1,1,-0.931933908
98,0.296881782,0.433183364,-1.181451439,-0.204476243,0.903876888,0.272660049,-0.465125194,2.319484601,0.129100304,-0.284540403,2.443060438,0.95509959,-1.216027206,-1.707444611,-1.62180961,-0.981269859,1.990968096,0.06220593,0,1,1,-0.556414299
99,0.769260775,1.109571743,-1.008793298,0.032166011,0.570444505,-0.630005401,-0.258272214,0.533801251,-0.501370426,0.384416552,0.276019091,0.527720096,0.143399571,-0.374915079,-0.052747262,0.373183347,-0.731645931,0.905630469,0,1,1,0.309455931
100,0.50541161,0.319019393,-0.268131945,-0.678945278,0.271557378,-0.124008686,1.986815685,-1.491641084,0.397600832,-1.643925132,-1.080542283,-1.700289416,0.440666922,0.834282795,1.362498782,1.909431211,-1.080707017,-1.036931579,0,1,1,0.870593237
PFBS,0.196004598,1.501583388,-0.352031193,-0.036424562,-0.976484947,-1.495090003,-0.52344691,-0.092273537,1.835778967,0.018545992,1.01287219,0.18355139,-0.778135858,-0.193160562,-1.350497954,-0.659309806,-0.42642815,-0.447980257,0,1,0,-0.610818994
PFPrA,0.196004598,0.163553839,-0.352031193,-0.036424562,0.584755521,0.668856054,-1.459693416,0.416442146,-0.602897538,1.450934456,-0.420864166,1.115296171,1.314766366,-0.142004557,-1.086556986,-0.860023759,-0.257800469,1.647876601,0,1,0,-0.36221499
82FTSA,0.196004598,-0.366082857,-0.352031193,-0.036424562,0.584755521,0.668856054,1.349046101,1.433873512,-0.463544595,-1.601017438,1.52827814,-0.59432728,-1.915755059,0.128091142,0.717039631,0.658402,1.522646897,-0.505386381,0,1,0,-0.580037693
H-PFHpA,0.196004598,-0.449709704,-0.352031193,-0.036424562,0.584755521,0.668856054,0.178737969,0.12574747,-0.403821905,0.111173254,-0.282506194,-0.081440244,0.1157078,0.131594978,0.343123259,0.925972973,-1.415384357,1.660989062,0,1,0,-0.426823419
PFHxS,0.196004598,-1.285978172,-0.34910381,-0.036424562,-2.537725415,0.668856054,0.412799596,-0.60098922,1.487396609,-0.729377449,0.570775624,-1.671390053,0.644879101,-4.742040645,-1.460473358,-0.292765785,-0.210715195,-1.100566935,1,0,1,-0.578191738
