Name,UV_wave,UV_Energy,CPFAS,CED,pH,Temp,nF,H_C,F_C,EB3LYP,ELUMO,f_min,f_zmax,EA,S,ESP_Average_Negative_surface_area,ESP_Overall_average_value,ESP_Positive_average_value,Kobs,Electron_donor,Air_condition
17,254.98076,13.719225,36.66675,10.883333,11.171079,23.1657,9.3435335,0.22262435,1.7438225,-1263.769,-1.2721536,0.019616377,0.19389361,-1.1333659,0.08342628,136.97246,0.5460524,13.381777,1.465107,SO32-,S
18,255.93803,13.170003,21.65087,10.068313,11.87185,24.141382,10.881644,0.26756796,1.7320843,-1550.0536,-1.1393112,0.014052101,0.15922749,-0.9759612,0.085256875,135.07666,1.0560378,11.454743,0.93307495,SO32-,S
19,255.9597,10.047987,37.477283,11.108714,10.965531,25.01675,12.037589,0.35187134,1.77433,-1824.0326,-0.64838743,0.012629141,0.1294765,-1.2232757,0.08317385,134.68144,1.5012146,10.5121355,0.08807415,SO32-,S
20,253.58641,10.824459,28.970604,9.404283,11.610384,24.701828,15.315873,0.19535474,1.9417738,-2215.423,-0.8035481,0.010442773,0.12337746,-0.98226887,0.08350084,150.32227,1.307187,8.992497,-0.3123023,SO32-,S
21,256.33978,12.427143,27.55406,10.136266,11.377593,24.342503,10.291605,0.1800935,2.011466,-1585.6376,-0.96581346,0.01541549,0.16333273,-1.4595561,0.08008947,108.0883,1.2059169,10.123943,0.17060655,SO32-,S
22,253.39728,14.041566,33.10604,9.839164,11.863899,23.240334,12.624274,0.16153216,1.9007878,-1824.111,-1.0491163,0.013431177,0.16958427,-1.0410887,0.083242595,143.78671,0.84379256,10.525479,2.2421453,SO32-,S
23,254.70659,14.276541,35.560284,10.792712,10.540755,22.586647,8.510344,0.26637143,1.8124775,-1238.968,-1.0461586,0.022426153,0.18274945,-1.2270154,0.080960065,109.986435,1.1616162,12.418682,0.49067962,SO32-,S
24,255.99161,11.710823,20.402779,9.890434,12.126078,24.895218,14.855888,0.32036617,1.7295543,-2130.6199,-0.7099994,0.009807812,0.12162957,-1.1032578,0.085655354,164.7359,1.1992675,10.477798,0.3182506,SO32-,S
25,254.51958,14.634821,21.882109,10.003068,11.419851,22.775768,11.920997,0.33746082,1.7121341,-1669.6462,-0.8167163,0.015660863,0.14442576,-1.2764987,0.084545344,152.75256,0.9226736,12.131352,0.66905475,SO32-,S
26,256.57727,11.284225,33.985966,10.952779,11.410824,24.74256,11.387922,0.24747965,1.7110553,-1560.3016,-1.2445256,0.014036476,0.16088052,-0.849157,0.08632503,146.37143,0.8445436,11.802287,0.61568815,SO32-,S
27,257.0363,12.085632,20.108093,9.97284,12.196879,24.983028,11.540206,0.24123302,1.6645385,-1620.1172,-1.3901008,0.011637242,0.16330315,-0.8026638,0.08669205,140.27939,1.0824581,11.048949,1.4423902,SO32-,S
28,255.08302,16.040838,20.006548,9.907699,11.324492,22.135223,10.756601,0.16981739,1.809027,-1559.4215,-1.3545612,0.014620503,0.16872872,-0.8297793,0.08609985,123.62992,1.0543796,10.357314,3.02537,SO32-,S
29,254.71529,11.223434,38.71148,10.226833,11.456978,24.480356,13.170587,0.17024514,1.8968157,-1831.8557,-1.0721569,0.013140368,0.15772165,-1.0020708,0.08374678,152.69745,0.7102931,10.844657,0.21763843,SO32-,S
30,249.6891,10.964147,36.872116,9.257024,11.894137,25.151932,9.29248,0.29477924,1.6840236,-1283.0944,-1.0920401,0.018201068,0.18914959,-1.2461671,0.08249651,141.52542,0.54613054,13.790918,0.53357947,SO32-,S
31,257.12537,11.383775,25.466263,9.947547,11.18277,25.103193,9.352225,0.1944232,1.9380565,-1416.5189,-1.0741656,0.014517755,0.18849313,-1.7967907,0.07987991,113.71493,0.9318853,11.14412,0.13245112,SO32-,S
32,254.48271,12.610668,28.502964,10.194913,11.170969,23.581192,12.779748,0.34293887,1.7815987,-1893.3287,-0.65898776,0.01383179,0.12382862,-1.1196206,0.08410455,140.67546,1.4062462,10.63577,-0.03134114,SO32-,S
33,254.6328,12.9924755,29.434717,10.061597,11.676576,23.691141,13.577309,0.15905924,2.0186422,-2086.9307,-0.8825849,0.011632505,0.12920794,-0.970278,0.08326926,120.87907,1.4608535,8.408188,0.9333425,SO32-,S
34,254.2998,12.726922,35.652267,10.147619,11.830567,23.835024,12.756832,0.17296417,1.9152869,-1824.328,-1.028,0.013108755,0.15625675,-1.0023808,0.08323679,142.34561,0.87883043,10.513627,0.8233556,SO32-,S
35,254.87796,14.575858,26.525885,10.17329,11.376476,22.909473,9.827514,0.19825268,1.720254,-1314.6042,-1.3909335,0.017238306,0.18509912,-0.8975598,0.08591378,136.11256,0.6771773,12.503303,1.7779343,SO32-,S
36,256.25104,10.78735,29.703348,10.228064,11.531468,25.49905,7.8476815,0.35765043,1.6413506,-1154.406,-1.062598,0.021938503,0.19700736,-1.3609058,0.08142716,111.69051,1.2454226,13.476372,0.237513,SO32-,S
37,254.84468,15.687171,23.218082,9.834292,11.810769,22.486582,9.520248,0.20166647,1.8933815,-1471.0444,-1.0226011,0.017883386,0.17923161,-1.2359979,0.08139664,111.588066,1.0539283,11.180213,2.9682267,SO32-,S
38,251.64662,15.870249,27.343424,9.294138,11.218147,21.91754,9.303666,0.20300944,1.8595996,-1316.3026,-1.1348956,0.019331308,0.1903657,-1.2759039,0.08113682,122.84133,0.8426902,12.097743,1.512423,SO32-,S
39,253.72278,11.253212,29.90424,9.381166,12.149835,25.02373,13.933139,0.26528066,1.7921457,-1991.18,-0.81668526,0.009751636,0.14708509,-1.1766701,0.0839102,159.16551,1.0509394,10.531898,0.48616326,SO32-,S
40,255.2032,11.869853,24.79002,9.885535,12.231376,25.126064,8.739868,0.33360142,1.722405,-1319.1659,-0.93599504,0.01781383,0.17429906,-1.3594137,0.08166585,122.726425,0.99774575,12.874118,0.49861944,SO32-,S
41,254.0655,12.866934,29.74502,9.840127,9.860142,23.019293,10.095441,0.19920565,1.9596086,-1489.6959,-0.9989692,0.018352302,0.16124716,-1.0865822,0.08145405,117.009,1.0028449,10.974644,0.059310015,SO32-,S
42,253.99231,12.521506,28.67917,10.096638,11.148858,23.694744,12.2259865,0.21769759,2.040983,-1929.4811,-0.69153404,0.0143623,0.11702246,-1.0988008,0.08160547,111.919235,1.5146353,9.048049,-0.104510486,SO32-,S
43,256.1119,13.016294,20.191309,9.663889,12.164297,24.538013,13.39122,0.1683566,1.7866147,-1936.2618,-1.2709541,0.010186435,0.1671659,-0.80268466,0.08668192,147.31253,1.0943991,9.822703,2.44668,SO32-,S
44,252.92491,14.501238,23.602,9.450705,10.605519,22.470007,10.587812,0.2161438,1.9143381,-1507.8472,-1.001437,0.018353753,0.15879343,-1.1394569,0.082056336,129.92685,0.80012286,11.613557,-0.050263707,SO32-,S
45,253.6742,13.699992,25.653038,9.6848,11.529683,23.361303,11.170481,0.21076648,1.9873679,-1722.703,-0.86061275,0.015510645,0.1401095,-1.0871588,0.08159492,114.21896,1.2520604,10.037191,0.31967467,SO32-,S
46,254.74731,11.735839,29.15878,9.670969,11.643062,24.638779,12.5969305,0.16706915,1.7919133,-1667.5338,-1.3465376,0.01329927,0.17581235,-0.92437077,0.085676014,159.772,0.565086,11.729873,0.45861053,SO32-,S
47,253.14528,12.542466,30.815058,9.816126,12.1546545,24.494364,7.3759294,0.26309562,1.6818353,-1116.9073,-1.3709203,0.019456295,0.19945775,-1.0833889,0.08309045,91.18265,1.5499649,11.78534,1.9203018,SO32-,S
48,254.59918,10.592511,39.176365,10.047781,11.373567,24.854239,13.538454,0.17549682,1.9405769,-1956.0983,-0.93244004,0.010513696,0.15582626,-1.3209132,0.082353905,146.95471,0.9674619,9.939515,0.24356645,SO32-,S
49,254.648,12.124243,24.409512,9.842356,10.8986025,24.437595,8.865502,0.35111827,1.8435303,-1430.6494,-0.6572274,0.020878892,0.15844567,-1.3668447,0.079469256,108.00853,1.4328276,11.931625,-0.25779468,SO32-,S
50,253.9104,10.944162,26.015928,9.725414,9.7994795,23.908857,11.756535,0.20287214,2.0831687,-1923.0765,-0.6381364,0.014556441,0.11736757,-1.3735726,0.08027523,105.68621,1.4082804,8.786232,-0.17281836,SO32-,S
51,246.55505,13.519345,62.847786,10.436695,11.056223,21.900784,12.649474,0.13614087,1.9261899,-1808.3542,-1.1299052,0.013649673,0.16462947,-0.9574974,0.083678305,138.5651,0.97706175,9.812984,2.323755,SO32-,S
52,254.979,12.612477,36.5119,10.546288,11.512476,23.51726,14.845017,0.18067345,1.8655409,-2077.937,-1.0470971,0.011196846,0.1358364,-0.815744,0.08608226,157.00403,1.0208964,9.816994,0.71677816,SO32-,S
53,253.33849,15.132855,26.661491,9.794625,11.696775,22.65675,9.247476,0.25383943,1.9448569,-1467.7708,-0.80887383,0.0195196,0.16162017,-1.4068989,0.07948349,99.39467,1.4673643,10.761816,1.0473416,SO32-,S
54,255.62004,11.970419,21.677032,9.992728,11.952604,24.882257,10.205054,0.37679785,1.6414032,-1470.6122,-0.84847254,0.016213521,0.1592332,-1.3059993,0.083611265,142.83598,0.89258873,13.099845,0.40749222,SO32-,S
55,252.59679,12.0858345,33.712536,9.741812,11.173294,24.381388,7.374009,0.2718911,1.7548447,-1082.5302,-1.1796513,0.022267887,0.20596372,-1.4033805,0.0802279,87.65557,1.683784,11.921218,0.7396656,SO32-,S
56,256.29907,12.274122,19.47875,10.013294,12.121232,24.910887,9.585348,0.42193624,1.6558282,-1450.5918,-0.656028,0.017809553,0.16094302,-1.5621616,0.08152508,133.40927,1.1325287,13.197634,0.34993565,SO32-,S
57,255.1506,14.447353,33.135323,10.666669,11.628511,22.756134,12.552863,0.1993545,1.885393,-1843.8813,-0.9491559,0.014243783,0.15095651,-1.0167949,0.083946384,137.87242,1.0240307,10.397906,2.0823858,SO32-,S
58,255.82939,13.453269,26.274916,10.0422125,11.864494,23.7805,13.247629,0.15195352,1.8701178,-1872.9082,-1.1831453,0.012314928,0.16230652,-0.8868378,0.085126616,149.3214,0.8356019,10.354885,1.7082969,SO32-,S
59,255.18356,9.402301,32.154907,9.691429,10.566971,25.475504,11.027753,0.19436216,1.9524746,-1643.9312,-0.95759124,0.013869594,0.16330065,-1.2790399,0.08106385,123.95987,1.0436342,10.4600725,-0.010673467,SO32-,S
60,251.48816,9.288312,32.263767,9.003813,9.36996,25.095171,10.116964,0.2039427,2.01579,-1603.3741,-0.829579,0.014285605,0.16559623,-1.8380482,0.07930268,114.44223,1.0661147,10.209845,0.072877824,I-,A
61,255.13966,9.286995,33.54267,9.790328,8.8496895,24.67264,11.420352,0.16839202,1.9720376,-1671.1996,-1.022092,0.012902598,0.16985628,-1.5505449,0.08164918,130.46451,0.9018172,10.2633915,0.1790914,I-,A
62,253.38081,14.952522,23.40337,9.55087,11.950326,22.862629,7.387483,0.31777582,1.7054734,-1082.5706,-1.0518136,0.022760352,0.20356143,-1.4639763,0.08011348,112.984726,0.9396845,13.794281,1.9476948,SO32-,S
63,256.1197,15.327031,19.088303,10.094366,11.556323,22.804758,7.413457,0.31764358,1.6920714,-1086.5366,-1.139809,0.022736453,0.19140778,-1.2716001,0.0818556,102.34911,1.346852,12.861345,1.3998442,SO32-,S
64,254.42168,11.50162,33.85125,10.634455,10.510043,23.371132,14.121142,0.20793706,2.038015,-2184.9968,-0.6772025,0.013635485,0.10321298,-0.98079425,0.08339629,126.095146,1.428204,8.677556,-0.08656758,SO32-,S
65,253.81578,11.413514,27.770426,9.528692,12.002779,25.204426,8.991227,0.28876376,1.7900755,-1347.273,-0.9564317,0.01842751,0.18112685,-1.351618,0.08073676,125.401344,0.8299599,12.917904,0.27692777,SO32-,S
66,251.38048,11.869907,62.885143,11.972566,10.339505,22.803152,13.110608,0.13593623,1.8622179,-1741.8434,-1.2811674,0.014399258,0.16692209,-0.84580106,0.08572999,161.61707,0.5914246,10.929629,0.9719137,SO32-,S
67,251.47034,12.275937,32.462284,9.622308,12.102903,24.41823,9.979018,0.36286598,1.6889614,-1502.6348,-0.7755318,0.017186427,0.16838053,-1.3569816,0.081692696,126.540474,1.3575735,12.252452,1.2007523,SO32-,S
68,253.3817,13.432961,46.887604,11.198913,11.25085,22.782017,10.617458,0.24906567,1.8851478,-1609.2822,-0.8651336,0.01731741,0.15155952,-1.111492,0.08179377,110.877365,1.4603695,10.515949,1.0761466,SO32-,S
69,254.44446,12.823917,29.126085,9.81437,11.5860405,24.055155,9.851887,0.21048245,1.8975652,-1456.1788,-1.0479841,0.016400173,0.16965696,-1.1298381,0.081516206,117.575714,1.0140646,11.26455,0.40753603,SO32-,S
70,254.9561,10.371285,40.604977,10.686153,11.396072,25.05694,12.327755,0.26148385,1.8136114,-1771.4575,-0.88963634,0.013204077,0.14772506,-1.0679994,0.08355565,148.06226,0.9432257,11.163983,0.19573277,SO32-,S
71,256.24136,12.680023,24.272,10.212179,12.105681,24.537653,11.717553,0.23984486,1.7208353,-1665.9803,-1.1442447,0.014485251,0.17025125,-1.0148988,0.0854909,153.19531,0.6246462,12.267262,2.100344,SO32-,S
72,255.40494,13.007942,35.779903,10.754159,10.427686,23.189766,9.874295,0.21818905,1.9253818,-1468.7275,-0.97492856,0.018932378,0.16336535,-1.0853052,0.0812292,112.88371,1.1508445,11.086307,0.27885932,SO32-,S
73,254.47751,11.362743,37.309483,10.466882,11.664073,24.364645,13.871155,0.21867174,1.9478728,-2057.0803,-0.7556011,0.012379378,0.123417035,-1.0432811,0.082966454,141.10835,1.1741011,9.72006,0.012134846,SO32-,S
74,253.27959,12.602481,37.93915,10.204576,11.552552,23.59375,12.671481,0.2166526,1.8916911,-1811.6909,-0.9163958,0.013774827,0.14548956,-1.028411,0.08328693,143.52446,0.9149547,10.775031,0.35684127,SO32-,S
75,254.49129,10.815083,26.787083,9.646326,10.198208,24.667397,10.11711,0.18343459,1.8725597,-1463.9757,-1.226196,0.015577802,0.16811064,-0.87022454,0.08365637,117.71262,1.0853094,10.707832,0.13723665,SO32-,S
76,254.41156,12.250636,31.318138,10.072952,11.613258,24.496418,8.582506,0.26190558,1.8217745,-1279.2826,-1.0487247,0.01940917,0.18115464,-1.2511075,0.08084133,115.80608,0.9442294,12.493032,0.4021033,SO32-,S
77,254.90147,13.189693,31.65532,10.456292,11.742471,23.756954,10.249431,0.25307408,1.715955,-1459.3918,-1.2304126,0.014823796,0.16926342,-0.92427826,0.08528577,126.64839,1.1693325,11.405588,1.693463,SO32-,S
78,254.58258,11.07563,30.934683,9.590471,11.287934,24.390379,14.520184,0.131834,1.9776864,-2076.8386,-1.0425229,0.010426942,0.14305758,-0.95236903,0.08377677,142.40672,1.1089543,8.972719,0.06678778,SO32-,S
79,256.2679,12.840773,32.50822,11.0462675,11.690379,23.790228,12.626836,0.33738655,1.6787342,-1754.8971,-0.82602584,0.013792726,0.14495026,-1.2239382,0.085212156,160.52234,0.8961317,12.121354,0.79101557,SO32-,S
80,251.86928,15.750296,32.14679,9.760063,11.279865,21.694088,13.57832,0.1407612,1.9659774,-1958.2458,-1.0305333,0.013762704,0.14621793,-0.90846926,0.084212326,138.79892,1.0922167,9.3855915,1.7459989,SO32-,S
81,254.61201,11.2463255,34.229218,9.6482725,11.4478655,24.7143,14.03219,0.13334239,1.8519211,-1881.4825,-1.2739567,0.011173054,0.17510332,-0.91916794,0.085102916,165.60587,0.6591661,10.714648,0.5272842,SO32-,S
82,254.25055,13.958993,22.856215,9.945157,10.799681,22.363235,15.310337,0.15005654,2.0656095,-2216.106,-0.84135705,0.012580673,0.103251725,-0.8934602,0.08457862,134.5749,1.3216649,8.4046755,-0.07651693,SO32-,S
83,255.50706,13.146338,31.57745,10.104507,11.785173,23.980373,11.528559,0.15573053,1.8174103,-1618.1254,-1.2999504,0.01438416,0.19337407,-1.1529402,0.08411504,148.26309,0.5676766,11.745799,2.412535,SO32-,S
84,255.68155,12.60578,18.414543,9.7747135,11.3816595,24.28535,11.079609,0.336609,1.814913,-1654.2513,-0.68821764,0.016344165,0.14513427,-1.3989292,0.081735946,138.77016,1.0267816,11.950259,-0.31302923,SO32-,S
85,255.8284,13.439837,40.664494,11.554214,11.359998,23.092209,11.4448805,0.22645654,1.7886015,-1597.1156,-1.1442035,0.01599305,0.15777954,-0.9364628,0.085222766,143.83585,0.72310066,11.837903,1.3093023,SO32-,S
86,254.75131,13.25594,26.002518,9.718231,11.891537,24.061522,9.960362,0.2259102,1.810219,-1412.772,-1.1230316,0.01588926,0.18239501,-1.2222689,0.08244954,134.44122,0.7043128,12.227643,1.0591458,SO32-,S
87,254.40329,11.212614,27.586569,9.650791,12.354546,25.236326,13.454429,0.2818195,1.8159215,-1996.576,-0.7403076,0.009940101,0.13531205,-1.194179,0.08346771,145.6132,1.30489,10.1252365,0.46470314,SO32-,S
88,255.6,11.193536,52.72432,12.128535,11.390566,24.397596,10.104649,0.42238164,1.6715504,-1620.321,-0.4654098,0.016925186,0.14996277,-1.5703322,0.080933794,115.20254,2.1073747,11.171747,0.74917895,SO32-,S
89,254.8849,13.848403,21.807306,9.970916,11.826138,23.575068,13.377566,0.20246242,2.0827534,-2121.0376,-0.6370628,0.013202083,0.11424628,-1.2702781,0.08140679,120.60573,1.4395069,8.669966,0.22990781,SO32-,S
90,252.45467,12.287995,34.2303,9.578886,11.92488,24.464497,8.0124855,0.2513859,1.8022455,-1186.4065,-1.1203371,0.02156782,0.2072228,-1.69071,0.079302356,111.885635,0.9353451,13.109154,0.7137716,SO32-,S
91,255.0033,11.696205,23.23507,9.602474,11.655221,24.8704,10.373674,0.24374625,1.8716644,-1515.6051,-0.97733486,0.015589289,0.16095352,-1.1785228,0.0819618,126.27085,0.9799827,11.40458,-0.19467026,SO32-,S
92,255.43001,11.824549,22.937462,9.845688,11.72546,25.05081,8.911559,0.3203038,1.7181388,-1297.8762,-1.0004072,0.018706933,0.17807862,-1.2452796,0.08202237,123.21244,1.0146424,12.90943,0.06285113,SO32-,S
93,253.65472,16.056776,18.413094,9.660925,11.176285,21.684982,12.929341,0.22260757,1.9268011,-1906.5654,-0.82903343,0.016330637,0.13323833,-1.1229228,0.083777614,134.20108,1.1640755,10.067206,1.6121439,SO32-,S
94,254.70793,12.988142,18.991196,9.465897,11.956607,24.093172,13.5090475,0.2696196,1.8136493,-1920.0151,-0.8513951,0.011890107,0.13354203,-1.1133322,0.08464877,153.63634,1.0116557,10.710158,0.05899864,SO32-,S
95,254.14153,11.806309,29.863659,9.475376,11.937353,24.874767,10.389686,0.20181812,1.8525939,-1473.3262,-1.1282935,0.015741393,0.1835092,-1.2251621,0.08173431,136.7468,0.63469374,12.105312,0.45018595,SO32-,S
96,254.77,12.742848,27.792036,9.990263,10.617957,23.66374,10.186067,0.21584512,2.0600967,-1637.939,-0.76133525,0.01682049,0.14480466,-1.5077082,0.07949332,109.88636,1.091582,10.310793,-0.055480544,SO32-,S
97,254.96382,13.287846,19.618658,9.915615,12.0581255,24.23138,10.230013,0.39913067,1.861968,-1724.3103,-0.4647368,0.01852803,0.13174184,-1.5813373,0.079619244,111.78758,1.7031951,11.121563,0.28609377,SO32-,S
98,255.78981,14.375913,21.130701,10.055859,11.821578,23.345087,10.659145,0.2737798,1.7928298,-1528.915,-0.9267371,0.017115561,0.16442636,-1.2700765,0.08265009,137.01721,0.85448354,12.190946,1.0736932,SO32-,S
99,255.32845,13.104197,27.616997,9.634425,11.609538,23.841906,15.316748,0.1315984,1.8914121,-2121.3723,-1.2159479,0.009752095,0.17157352,-0.9876243,0.08538382,165.63316,0.74567187,9.72796,1.5841062,SO32-,S
PFBS,254,18,25,10,9.5,20,9,0.25,2.25,-1675.370737,-0.471852,0.0186,0.1248,-1.6134,0.0766,95.23117,1.04459,9.41907,0.0013,SO32-,S
PFPrA,254,13.2,25,10,12,25,5,0.333333333,1.666666667,-764.57768,-1.15984,0.0295,0.2304,-1.5623,0.0778,86.91576,1.18727,15.31386,0.54,SO32-,S
82FTSA,254,11.3,25,10,12,25,17,0.5,1.7,-2705.180153,-0.224531,0.0095,0.0674,-1.2925,0.086,149.82286,2.69375,9.25761,0.068,SO32-,S
H-PFHpA,254,11,25,10,12,25,12,0.285714286,1.714285714,-1616.47312,-1.093448,0.0155,0.1699,-1.289,0.0843,160.9081,0.20781,15.35074,0.4,SO32-,S
PFHxS,254,8,25.1,10,7,25,13,0.166666667,2.166666667,-2150.942479,-0.683995,-0.0031,0.1966,-6.1573,0.0761,110.41678,1.22711,7.58361,0.072,I-,A
PFHpA,254,11.9,25,10,12,25,13,0.142857143,1.857142857,-1715.719868,-1.236052,0.0141,0.1777,-1.1697,0.0833,144.13066,0.7955,9.62792,0.22,SO32-,S
FTMeUPA,254,10.4,25,10,12,25,7,0.5,1.166666667,-1079.794735,-2.069658,0.0126,0.1608,-0.1509,0.094,95.83389,2.1489,10.02017,2.04,SO32-,S
TFA,254,13.2,25,10,12,25,3,0.5,1.5,-526.785792,-1.065781,0.0556,0.2522,-1.851,0.0754,49.69617,2.85125,15.6311,0.41,SO32-,S
C7 HFPO-TA,184.9,8,100,1,12,25,13,0.142857143,1.857142857,-1866.19367,-1.121222,0.0096,0.1931,-1.2658,0.0819,162.8972,0.82141,9.55031,0.282,SO32-,S
PFHxA,254,18,25,10,9.5,20,11,0.166666667,1.833333333,-1477.933911,-1.2883,0.0175,0.1739,-1.0207,0.0852,142.97827,0.63409,11.67251,0.57,SO32-,S
PFHpA,254,18,25,10,12,20,13,0.142857143,1.857142857,-1715.719868,-1.236052,0.0141,0.1777,-1.1697,0.0833,144.13066,0.7955,9.62792,5.69,SO32-,S
62H-PFESA,254,12.9,25,10,12,25,16,0.25,2,-2602.499291,-0.335353,0.0114,0.0755,-1.2101,0.0842,131.52295,2.23874,8.67191,0.044,SO32-,S
HFPO-TrA,254,10.7,25,10,12,25,17,0.111111111,1.888888889,-2341.766732,-1.129565,0.0012,0.1811,-1.1939,0.0827,167.66391,1.4806,7.75759,0.32,SO32-,S
TFA,254,18,25,10,9.5,20,3,0.5,1.5,-526.785792,-1.065781,0.0556,0.2522,-1.851,0.0754,49.69617,2.85125,15.6311,0.15,SO32-,S
PFHpS,254,12,25,10,12,25,15,0.142857143,2.142857143,-2388.727659,-0.647296,0.0127,0.0829,-1.1488,0.0828,91.59486,1.82007,6.64508,0.23,SO32-,S
PFOS,253.7,8,160,20,9.5,20,17,0.125,2.125,-2626.512716,-0.738456,0.0137,0.0714,-0.9124,0.0862,102.8011,1.80565,6.34288,1.7,SO32-,S
PFPeS,254,12.9,25,10,12,25,11,0.2,2.2,-1913.156888,-0.702527,0.0187,0.0915,-1.206,0.0818,89.59094,1.4875,7.79593,0.077,SO32-,S
PFHxA,254,11.9,25,10,12,25,11,0.166666667,1.833333333,-1477.933911,-1.2883,0.0175,0.1739,-1.0207,0.0852,142.97827,0.63409,11.67251,0.34,SO32-,S
PFPrA,254,18,25,10,9.5,20,5,0.333333333,1.666666667,-764.57768,-1.15984,0.0295,0.2304,-1.5623,0.0778,86.91576,1.18727,15.31386,0.66,SO32-,S
PFBA,254,11.9,25,10,12,25,7,0.25,1.75,-1002.359323,-1.221073,0.0199,0.208,-1.3161,0.0808,43.81661,2.95891,9.05113,0.36,SO32-,S
TFA,254,18,25,10,12,20,3,0.5,1.5,-526.785792,-1.065781,0.0556,0.2522,-1.851,0.0754,49.69617,2.85125,15.6311,3.44,SO32-,S
73FTCA,254,11.3,25,10,12,25,15,0.5,1.5,-2032.165494,-0.108821,0.009,0.1021,-1.536,0.0858,193.26281,1.06498,11.04005,0.15,SO32-,S
PFBA,254,18,25,10,12,20,7,0.25,1.75,-1002.359323,-1.221073,0.0199,0.208,-1.3161,0.0808,43.81661,2.95891,9.05113,7.16,SO32-,S
HFPO-DA,253.7,8,160,20,10,25,11,0.166666667,1.833333333,-1553.171868,-1.13566,0.0161,0.1965,-1.2792,0.0812,144.32873,0.85578,10.56197,2.03,SO32-,S
